"Web ID","Region","Reported Date","Reported Year","Reported Month","Number Dead","Minimum Estimated Number of Missing","Total Dead and Missing","Number of Survivors","Number of Females","Number of Males","Number of Children","Cause of Death","Location Description","Information Source","Location Coordinates","Migration Route","URL","UNSD Geographical Grouping","Source Quality"
"43109","North Africa","February 18, 2016","2016","Feb","1","","1","","","","","Sickness and lack of access to medicines","Kessela, Sudan","Mixed Migration Monitoring Mechanism Initiative (4Mi)","15.455814400000, 36.378757100000","","","Northern Africa","2"
"43110","North Africa","February 18, 2016","2016","Feb","3","","3","","","","","Sickness and lack of access to medicines","Sabha, Libya","Mixed Migration Monitoring Mechanism Initiative (4Mi)","27.029507800000, 14.389083500000","","","Northern Africa","2"
"43111","Horn of Africa","February 18, 2016","2016","Feb","6","","6","","","","","Sickness and lack of access to medicines","Bahardar, Ethiopia","Mixed Migration Monitoring Mechanism Initiative (4Mi)","11.580677900000, 37.310383100000","","","Eastern Africa","2"
"43112","North Africa","February 18, 2016","2016","Feb","1","","1","","","","","Sickness and lack of access to medicines","Kurfrah, Libya","Mixed Migration Monitoring Mechanism Initiative (4Mi)","23.248841300000, 19.724216100000","","","Northern Africa","2"
"43113","North Africa","February 18, 2016","2016","Feb","2","","2","","","","","Sickness and lack of access to medicines","Madani, Sudan","Mixed Migration Monitoring Mechanism Initiative (4Mi)","14.383075200000, 33.461172600000","","","Northern Africa","2"
"43114","North Africa","February 18, 2016","2016","Feb","8","","8","","","","","Sickness and lack of access to medicines","Kurfrah, Libya","Mixed Migration Monitoring Mechanism Initiative (4Mi)","23.248841300000, 19.724216100000","","","Northern Africa","2"
"42414","Mediterranean","February 17, 2016","2016","Feb","1","","1","2","","","1","Hypothermia","arrived at Agia Ermioni, Chios, Greece","Greek Reporter","38.342494100000, 25.880581700000","Eastern Mediterranean","http://bit.ly/1oqQztJ","Uncategorized","1"
"42443","Caribbean","February 17, 2016","2016","Feb","","1","1","12","","","","Drowning","between Cuba and Man Key, Key West, Florida USA","Sun Sentinel, Miami Herald","23.866987800000, -82.297972000000","","http://hrld.us/1R93YjJ, http://bit.ly/1mJq8yn","Caribbean","3"
"42884","Middle East","February 17, 2016","2016","Feb","1","","1","","1","","1","Sickness and lack of access to medicines","Syrian/Turkish border near Qamishli, Al Hasaka, Syria","Action Group for Palestinians of Syria","36.504474100000, 40.708528000000","","http://www.actionpal.org.uk/","Western Asia","4"
"42885","Middle East","February 17, 2016","2016","Feb","1","","1","","1","","","Shot","Syrian/Turkish border near Qamishli, Al Hasaka, Syria","Action Group for Palestinians of Syria","36.504474100000, 40.708528000000","","http://www.actionpal.org.uk/","Western Asia","4"
"42886","Middle East","February 17, 2016","2016","Feb","1","","1","","1","","","Sickness and lack of access to medicines","Syrian/Turkish border near Qamishli, Al Hasaka, Syria","Action Group for Palestinians of Syria","36.504474100000, 40.708528000000","","http://www.actionpal.org.uk/","Western Asia","4"
"42887","Middle East","February 17, 2016","2016","Feb","1","","1","","","1","","Sickness and lack of access to medicines","Syrian/Turkish border near Qamishli, Al Hasaka, Syria","Action Group for Palestinians of Syria","36.504474100000, 40.708528000000","","http://www.actionpal.org.uk/","Western Asia","4"
"43090","North Africa","February 17, 2016","2016","Feb","1","","1","","","","","Sickness and lack of access to medicines","Las'anod, Somalia","Mixed Migration Monitoring Mechanism Initiative (4Mi)","8.476128000000, 47.347479800000","","","Eastern Africa","2"
"43091","Horn of Africa","February 17, 2016","2016","Feb","1","","1","","","","","Sickness and lack of access to medicines","Gondor, Ethiopia","Mixed Migration Monitoring Mechanism Initiative (4Mi)","12.601127000000, 37.438938500000","","","Eastern Africa","2"
"43092","Horn of Africa","February 17, 2016","2016","Feb","1","","1","","","","","Vehicle Accident","Jigjiga, Ethiopia","Mixed Migration Monitoring Mechanism Initiative (4Mi)","9.352104400000, 42.777371200000","","","Eastern Africa","2"
"43093","North Africa","February 17, 2016","2016","Feb","3","","3","","","","","Sickness and lack of access to medicines","Sabha, Libya","Mixed Migration Monitoring Mechanism Initiative (4Mi)","27.029507800000, 14.389083500000","","","Northern Africa","2"
"43094","North Africa","February 17, 2016","2016","Feb","2","","2","","","","","Sickness and lack of access to medicines","Qalabat, Sudan","Mixed Migration Monitoring Mechanism Initiative (4Mi)","13.973173700000, 35.343169100000","","","Northern Africa","2"
"43095","North Africa","February 17, 2016","2016","Feb","1","","1","","","","","Sickness and lack of access to medicines","Tarhunah, Libya","Mixed Migration Monitoring Mechanism Initiative (4Mi)","32.434459100000, 13.606436400000","","","Northern Africa","2"
"43096","North Africa","February 17, 2016","2016","Feb","3","","3","","","","","Sickness and lack of access to medicines","Qalabat, Sudan","Mixed Migration Monitoring Mechanism Initiative (4Mi)","13.973173700000, 35.343169100000","","","Northern Africa","2"
